outbound_id,SJ_time,invoice_time
33372,2023-08-10 09:10:00,
33371,2023-08-10 08:14:45,
33370,2023-08-10 08:37:44,
33369,2023-08-10 09:08:30,
33368,2023-08-10 09:08:30,
33367,2023-08-10 08:14:40,
33366,2023-08-10 08:14:40,
33365,2023-08-10 08:14:48,
33364,2023-08-10 08:14:37,
33363,2023-08-10 08:14:37,
33362,2023-08-10 08:14:37,
33361,2023-08-10 08:14:21,
33360,2023-08-10 08:14:21,
33359,2023-08-10 08:14:21,
33358,2023-08-10 08:14:21,
33357,2023-08-10 08:14:21,
33356,2023-08-10 08:14:21,
33355,2023-08-10 08:14:33,
33354,2023-08-10 08:14:33,
33353,2023-08-10 08:37:36,
33352,2023-08-10 08:14:41,
33351,2023-08-10 08:14:41,
33350,2023-08-10 08:37:42,
33349,2023-08-10 08:14:31,
33348,2023-08-10 08:37:33,
33347,2023-08-10 08:14:40,
33346,2023-08-10 08:14:40,
33345,2023-08-10 08:14:40,
33344,2023-08-10 08:14:40,
33343,2023-08-10 08:14:44,
33342,2023-08-09 14:03:23,
33341,2023-08-09 14:02:22,
33340,2023-08-09 14:04:25,
33339,2023-08-09 14:02:52,
33338,2023-08-09 14:03:53,
33337,2023-08-09 14:01:55,
33336,2023-08-10 08:37:35,
33335,2023-08-09 14:05:09,
33334,2023-08-09 14:05:09,
33333,2023-08-09 14:05:09,
33332,2023-08-10 08:37:45,
33331,2023-08-10 08:37:45,
33330,2023-08-10 08:14:25,
33329,2023-08-10 08:14:42,
33328,2023-08-10 08:14:42,
33327,2023-08-10 08:37:17,
33326,2023-08-10 08:37:17,
33325,2023-08-10 08:37:17,
33324,2023-08-10 08:37:40,
33323,2023-07-27 13:00:44,
33322,2023-07-27 14:05:19,
33321,2023-07-27 19:54:18,
33320,2023-07-27 13:53:45,
33319,2023-07-27 14:04:47,
33318,2023-07-27 13:53:16,
33317,2023-07-27 14:04:19,
33316,2023-07-27 14:03:52,
33315,2023-07-27 14:03:26,
33314,2023-07-27 13:52:33,
33313,2023-07-27 14:00:09,
33312,2023-07-27 13:52:00,
33311,2023-07-27 13:52:00,
33310,2023-07-27 13:59:34,
33309,2023-07-27 13:51:18,
33308,2023-07-27 13:51:18,
33307,2023-07-27 13:58:55,
33306,2023-07-27 13:50:32,
33305,2023-07-27 13:58:28,
33304,2023-07-27 13:48:04,
33303,2023-07-27 08:20:50,
33302,2023-07-26 08:16:18,
33301,2023-07-26 08:16:18,
33300,2023-07-26 08:16:16,
33299,2023-07-26 08:16:16,
33298,2023-07-26 08:16:16,
33297,2023-07-26 15:11:56,
33296,2023-07-26 15:11:18,
33295,2023-07-26 15:09:30,
33294,2023-07-26 15:08:55,
33293,2023-07-26 15:07:51,
33292,2023-07-26 15:07:51,
33291,2023-07-26 15:16:05,
33290,2023-07-26 15:16:05,
33289,2023-07-26 15:16:05,
33288,2023-07-26 15:16:05,
33287,2023-07-26 15:14:57,
33286,2023-07-26 15:14:57,
33285,2023-07-26 15:14:23,
33284,2023-07-26 15:14:23,
33283,2023-07-26 15:14:23,
33282,2023-07-26 15:14:23,
33281,2023-07-25 13:28:20,
33280,2023-07-25 13:28:20,
33279,2023-07-25 14:46:00,
33278,2023-08-09 08:11:20,
33277,2023-08-09 09:10:00,
33276,2023-08-09 08:54:00,
33275,2023-08-09 08:54:00,
33274,2023-08-09 08:54:00,
33273,2023-08-09 08:11:46,
33272,2023-08-09 08:23:32,
33271,2023-08-09 08:23:32,
33270,2023-08-07 08:21:08,
33269,2023-08-09 08:55:17,
33268,2023-08-09 08:22:21,
33267,2023-08-09 08:11:13,
33266,2023-08-09 08:11:13,
33265,2023-08-07 08:21:04,
33264,2023-08-09 08:22:29,
33263,2023-08-09 08:22:23,
33262,2023-08-09 08:22:27,
33261,2023-08-09 08:11:11,
33260,2023-08-09 08:08:31,
33259,2023-08-09 08:42:05,
33258,2023-08-09 08:42:05,
33257,2023-08-09 08:42:05,
33256,2023-08-09 08:42:05,
33255,2023-08-09 08:08:43,
33254,2023-08-09 08:22:31,
33253,2023-08-09 08:08:43,
33252,2023-08-09 08:08:43,
33251,2023-07-25 14:52:37,
33250,2023-07-25 14:52:37,
33249,2023-07-25 14:52:37,
33248,2023-07-25 14:52:37,
33247,2023-07-25 14:52:37,
33246,2023-07-25 14:52:37,
33245,2023-07-25 14:52:37,
33244,2023-07-25 14:52:37,
33243,2023-07-25 14:52:37,
33242,2023-07-25 14:52:37,
33241,2023-07-24 16:53:17,
33240,2023-07-24 16:53:23,
33239,2023-07-24 16:53:23,
33238,2023-07-24 16:53:23,
33237,2023-07-24 16:53:23,
33236,2023-07-24 16:53:23,
33235,2023-07-24 16:53:23,
33234,2023-07-24 16:53:23,
33233,2023-07-25 14:45:57,
33232,2023-07-25 14:45:57,
33231,2023-07-25 14:45:57,
33230,2023-07-25 14:45:57,
33229,2023-07-25 14:45:50,
33228,2023-07-25 14:45:54,
33227,2023-07-25 14:45:53,
33226,2023-07-25 14:45:51,
33225,2023-07-25 14:45:50,
33224,2023-07-25 14:45:50,
33223,2023-07-25 14:45:50,
33222,2023-07-25 14:45:48,
33221,2023-07-25 14:45:48,
33220,2023-07-25 14:45:47,
33219,2023-07-25 14:45:47,
33218,2023-07-25 14:45:47,
33217,2023-07-25 14:45:47,
33216,2023-07-25 14:45:47,
33215,2023-07-25 14:45:45,
33214,2023-07-25 14:45:45,
33213,2023-07-25 14:45:45,
33212,2023-07-25 08:29:26,
33211,2023-07-25 08:29:23,
33210,2023-07-25 08:20:31,
33209,2023-07-24 10:09:37,
33208,2023-07-24 10:09:37,
33207,2023-07-24 10:09:37,
33206,2023-07-24 10:09:37,
33205,2023-07-21 14:58:30,
33204,2023-07-21 14:58:28,
33203,2023-07-21 14:58:25,
33202,2023-07-21 14:58:24,
33201,2023-07-21 14:58:23,
33200,2023-07-21 14:58:32,
33199,2023-07-21 14:58:32,
33198,2023-07-21 14:58:31,
33197,2023-07-21 14:58:31,
33196,2023-07-21 14:58:31,
33195,2023-07-21 13:09:30,
33194,2023-07-21 13:08:19,
33193,2023-07-21 13:07:43,
33192,2023-07-21 08:14:28,
33191,2023-07-21 08:14:28,
33190,2023-07-21 08:14:28,
33189,2023-07-21 08:14:28,
33188,2023-07-21 08:14:28,
33187,2023-07-21 08:13:54,
33186,2023-07-21 08:13:54,
33185,2023-07-21 08:13:54,
33184,2023-07-21 08:13:54,
33183,2023-07-21 08:13:51,
33182,2023-07-20 15:08:14,
33181,2023-07-20 15:06:19,
33180,2023-07-20 15:11:31,
33179,2023-07-20 15:10:46,